% Model,hex structure V4 - GeAsS.mph
% Version,COMSOL 6.3.0.290
% Date,"May 31 2026, 12:13"
% Table,Table 1 - Global Evaluation 1
% wl,hang (m),r (m),Effective mode index (1),real(ewfd.neff) (1),Aeff (m^2)
3.1,1.5E-7,2.0E-6,2.5940840125904354-0.13717039912935025i,2.5940840125904354,3.142257737924442E-11
3.1,1.5E-7,2.0E-6,2.594505273056757-0.13710177925524944i,2.594505273056757,2.2943703905883857E-12
3.1,1.5E-7,2.0E-6,2.5968443496197726-0.04386475216039985i,2.5968443496197726,6.78067845419213E-11
3.1,1.5E-7,2.0E-6,2.5972355006082295-0.04425285641606727i,2.5972355006082295,6.700250336922902E-11
3.1,1.5E-7,2.0E-6,2.601319172705388-0.043304688745307976i,2.601319172705388,6.691240990664168E-11
3.1,1.5E-7,2.0E-6,2.6013192843288118-0.04330482837004843i,2.6013192843288118,6.691231244491822E-11
3.1,1.5E-7,2.0E-6,2.6048177884887567-0.04267397430292244i,2.6048177884887567,6.695874555454268E-11
3.1,1.5E-7,2.0E-6,2.604817889396055-0.042674097601392534i,2.604817889396055,6.6958532154681E-11
3.1,1.5E-7,2.0E-6,2.607340975967491-0.0420192768414723i,2.607340975967491,6.8322190790432E-11
3.1,1.5E-7,2.0E-6,2.607723300735133-0.04239578132383971i,2.607723300735133,6.697479676021829E-11
3.1,1.5E-7,2.0E-6,2.6094683823412983-0.04187976558197265i,2.6094683823412983,6.666778771898124E-11
3.1,1.5E-7,2.0E-6,2.6094684773219687-0.041879874766604326i,2.6094684773219687,6.666694164580128E-11
3.1,1.5E-7,2.0E-6,2.6106320134182335-0.041667375894747206i,2.6106320134182335,6.676137820514082E-11
3.1,1.5E-7,2.0E-6,2.6106320600472737-0.041667426993548196i,2.6106320600472737,6.6760611713929E-11
3.1,1.5E-7,2.0E-6,2.6110196382450774-0.041597653809077095i,2.6110196382450774,1.0008917678947705E-10
3.1,2.0E-7,2.0E-6,2.4964258278692633-0.06216086624119575i,2.4964258278692633,6.797601950368004E-11
3.1,2.0E-7,2.0E-6,2.496426019951352-0.062160812539207126i,2.496426019951352,6.797629681202041E-11
3.1,2.0E-7,2.0E-6,2.509774872935461-0.05969617488357371i,2.509774872935461,6.865620193909683E-11
3.1,2.0E-7,2.0E-6,2.5097749942554803-0.05969614954453701i,2.5097749942554803,6.865650093067688E-11
3.1,2.0E-7,2.0E-6,2.5219293019565496-0.057165034231096715i,2.5219293019565496,6.821526759692686E-11
3.1,2.0E-7,2.0E-6,2.522567139276694-0.057667733945995864i,2.522567139276694,6.73801471233985E-11
3.1,2.0E-7,2.0E-6,2.5338589341475175-0.05530441731828149i,2.5338589341475175,7.758644399222551E-11
3.1,2.0E-7,2.0E-6,2.5338589556139284-0.055304428511067906i,2.5338589556139284,7.758665469921853E-11
3.1,2.0E-7,2.0E-6,2.5400256123915828,2.5400256123915828,7.358426063973112E-12
3.1,2.0E-7,2.0E-6,2.5400309920283526,2.5400309920283526,7.359150592600071E-12
